Fiscal Week,Total Early (%),Total On Time (%),Total Late (%)
01/07/2014,10.48,73.43,16.08
07/07/2014,9.62,74.59,15.78
14/07/2014,9.29,74.8,15.91
21/07/2014,8.75,73.81,17.44
28/07/2014,9.1,73.19,17.71
04/08/2014,8.82,72.95,18.24
11/08/2014,8.96,73.17,17.87
18/08/2014,8.53,73.05,18.42
25/08/2014,8.81,72.35,18.84
01/09/2014,6.69,72.34,20.97
08/09/2014,7.2,74.27,18.52
15/09/2014,7.3,73.86,18.83
22/09/2014,6.98,72.97,20.05
29/09/2014,8.13,72.82,19.04
06/10/2014,8.65,73.33,18.02
13/10/2014,7.07,74.01,18.92
20/10/2014,7.18,73.75,19.07
27/10/2014,7.13,73.46,19.41
03/11/2014,7.72,73.43,18.84
10/11/2014,7.55,72.68,19.77
17/11/2014,7.74,72.52,19.74
24/11/2014,7.32,72.79,19.89
01/12/2014,7.15,72,20.84
08/12/2014,7.76,73.21,19.03
15/12/2014,8.17,73.02,18.8
22/12/2014,9.44,74.96,15.6
29/12/2014,10.72,75.51,13.77
05/01/2015,8.19,74.17,17.64
12/01/2015,8.39,73.53,18.09
19/01/2015,8.11,73.34,18.55
26/01/2015,8.27,73.42,18.31
02/02/2015,7.26,72.37,20.38
09/02/2015,6.79,68.87,24.34
16/02/2015,6.72,69.91,23.38
23/02/2015,6.42,69.98,23.6
02/03/2015,6.72,71.14,22.14
09/03/2015,6.94,71.32,21.75
16/03/2015,6.58,71.03,22.39
23/03/2015,7.02,72.7,20.28
30/03/2015,7.32,72.45,20.23
06/04/2015,7.84,72.2,19.96
13/04/2015,8.02,72.96,19.02
20/04/2015,7.98,73.8,18.22
27/04/2015,6.88,71.97,21.15
04/05/2015,7,72.74,20.26
11/05/2015,7.58,73.62,18.81
18/05/2015,7.44,78.06,14.5
25/05/2015,7.49,78.47,14.04
01/06/2015,7.61,79.1,13.29
08/06/2015,7.65,78.17,14.18
15/06/2015,7.33,77.06,15.61
22/06/2015,7.96,78.36,13.68
29/06/2015,8.58,79.39,12.03
01/07/2015,8.25,79.21,12.55
06/07/2015,8.49,79.5,12
13/07/2015,8.35,79.24,12.42
20/07/2015,7.34,78.58,14.08
27/07/2015,7.12,78.66,14.22
03/08/2015,7.3,79.68,13.03
10/08/2015,7.2,79.85,12.95
17/08/2015,7.19,79.38,13.43
24/08/2015,7.15,78.98,13.87
31/08/2015,7.6,79.1,13.3
07/09/2015,7.41,78.81,13.77
14/09/2015,7.41,78.15,14.44
21/09/2015,7.24,78.1,14.66
28/09/2015,7.64,77.47,14.89
05/10/2015,8.38,77.3,14.32
12/10/2015,6.55,77.5,15.95
19/10/2015,6.27,74.96,18.77
26/10/2015,7.12,77.25,15.63
02/11/2015,7.18,78.03,14.79
09/11/2015,7.39,77.3,15.31
16/11/2015,7.27,77.21,15.52
23/11/2015,7.62,78.59,13.78
30/11/2015,7.45,78.02,14.53
07/12/2015,7.87,78.23,13.9
14/12/2015,8.38,78.52,13.1
21/12/2015,9.27,78.47,12.26
28/12/2015,11.25,79.54,9.21
04/01/2016,8.25,80.28,11.47
11/01/2016,8.08,78.99,12.93
18/01/2016,7.56,79.64,12.79
25/01/2016,7.94,79.26,12.8
01/02/2016,6.48,76.67,16.85
08/02/2016,5.89,74.69,19.42
15/02/2016,5.71,75.47,18.82
22/02/2016,6.09,75.1,18.81
29/02/2016,6.25,76.82,16.92
07/03/2016,6.57,76.18,17.25
14/03/2016,6.31,76.37,17.32
21/03/2016,7.05,77.32,15.63
28/03/2016,7.07,77.7,15.24
04/04/2016,7.32,77.47,15.22
11/04/2016,7.54,78.93,13.53
18/04/2016,7.36,78.62,14.03
25/04/2016,6.78,77.53,15.69
02/05/2016,7.17,77.78,15.06
09/05/2016,7.32,78.24,14.44
16/05/2016,7.69,78.75,13.56
23/05/2016,8.02,78.97,13
30/05/2016,8.46,78.93,12.61
06/06/2016,8.3,79.18,12.52
13/06/2016,7.67,79.08,13.25
20/06/2016,8.08,80.15,11.77
27/06/2016,9.09,79.29,11.62
04/07/2016,7.75,79.98,12.27
11/07/2016,7.92,79.38,12.7
18/07/2016,7.17,78.3,14.53
25/07/2016,7.31,79.32,13.37
01/08/2016,7.27,78.86,13.87
08/08/2016,7.75,79.08,13.17
15/08/2016,7.47,78.83,13.7
22/08/2016,7.73,78.94,13.33
29/08/2016,5.96,72.89,21.15
05/09/2016,6.04,73.11,20.86
12/09/2016,6.17,73.37,20.46
19/09/2016,5.65,71.78,22.57
26/09/2016,6.92,72.96,20.12
03/10/2016,6.86,71.49,21.65
10/10/2016,5.35,70.81,23.84
17/10/2016,6.24,72.1,21.66
24/10/2016,5.81,72.41,21.78
31/10/2016,6.01,72.57,21.42
07/11/2016,5.73,72.31,21.96
14/11/2016,5.44,71.94,22.62
21/11/2016,5.48,71.77,22.75
28/11/2016,5.89,71.48,22.63
05/12/2016,6.22,72.57,21.21
12/12/2016,6.51,72.41,21.08
19/12/2016,7.11,73.09,19.79
26/12/2016,10.31,78.56,11.13
02/01/2017,7.75,76.02,16.24
16/01/2017,7.19,74.1,18.72
23/01/2017,6.9,74.01,19.09
30/01/2017,5.76,71.3,22.94
06/02/2017,5.5,71.05,23.45
13/02/2017,5.25,68.63,26.12
20/02/2017,5.41,70.71,23.88
27/02/2017,5.66,70.49,23.85
06/03/2017,5.6,71.18,23.22
13/03/2017,5.62,71.03,23.34
20/03/2017,5.53,70.39,24.08
10/04/2017,6.78,72.91,20.3
17/04/2017,6.94,73.62,19.44
